iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
5;16;0.020661157024793406;0.015581625858088343;118;495;
10;26;0.021404109589041095;0.01652604670994648;220;990;
15;35;0.022967386311437764;0.016450469888504238;315;1485;
20;43;0.022967386311437767;0.016831534970477055;402;1980;
25;51;0.02348520432127759;0.017584942349573505;495;2475;
30;58;0.02348520432127759;0.017435065160614507;611;2970;
35;63;0.02348520432127759;0.01752028126217084;714;3465;
40;69;0.023596035865974502;0.017749591291546376;822;3960;
45;75;0.023596035865974512;0.018344452163750927;927;4455;
50;79;0.025432349949135305;0.017845603650091812;1017;4950;
55;84;0.026752273943285183;0.019109607350944708;1108;5445;
60;90;0.026752273943285183;0.019149128338538185;1218;5940;
